timestamp_ms,csv_idx,body_name,des_pos_x,des_pos_y,des_pos_z,act_pos_x,act_pos_y,act_pos_z,pos_err_x,pos_err_y,pos_err_z,pos_err_norm,des_quat_w,des_quat_x,des_quat_y,des_quat_z,act_quat_w,act_quat_x,act_quat_y,act_quat_z,orient_err_angle
786,5,INDEX_EE,0.157650,0.004491,0.032812,0.155855,0.020261,0.034209,0.001795,-0.015770,-0.001397,0.015933,0.952908,-0.297695,-0.001061,-0.057804,0.999966,-0.003380,0.007575,0.000069,0.609851
786,5,MIDDLE_EE,0.160155,-0.038674,0.043668,0.164240,-0.039663,0.034276,-0.004085,0.000989,0.009392,0.010290,0.982994,-0.008982,-0.016644,-0.182656,0.991420,-0.001733,0.008091,-0.130450,0.117706
804,5,PALM,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.993596,-0.053659,-0.099218,0.006571,0.999992,-0.003599,-0.001912,0.000102,0.219725
804,5,THUMB_EE,0.103451,0.073515,-0.008253,0.038017,0.102961,0.008707,0.065434,-0.029447,-0.016960,0.073732,0.810904,-0.501585,-0.122017,0.275582,0.649388,-0.657431,-0.267744,0.272749,0.536899
804,5,INDEX_EE,0.157650,0.004491,0.032812,0.155853,0.020276,0.034105,0.001797,-0.015784,-0.001293,0.015939,0.952908,-0.297695,-0.001061,-0.057804,0.999959,-0.003599,0.008329,0.000066,0.609462
804,5,MIDDLE_EE,0.160155,-0.038674,0.043668,0.164236,-0.039648,0.034168,-0.004081,0.000974,0.009500,0.010385,0.982994,-0.008982,-0.016644,-0.182656,0.991413,-0.001838,0.008889,-0.130453,0.118355
823,6,PALM,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.993607,-0.053859,-0.098999,0.006572,0.999991,-0.003810,-0.001929,0.000104,0.219294
823,6,THUMB_EE,0.103475,0.073469,-0.008367,0.038023,0.102958,0.008609,0.065452,-0.029489,-0.016976,0.073768,0.810751,-0.502116,-0.121312,0.275413,0.649164,-0.657676,-0.267446,0.272984,0.537014
823,6,INDEX_EE,0.157673,0.004571,0.032708,0.155850,0.020290,0.034000,0.001823,-0.015719,-0.001292,0.015877,0.952834,-0.298070,-0.000731,-0.057117,0.999951,-0.003811,0.009091,0.000062,0.609556
823,6,MIDDLE_EE,0.160176,-0.038673,0.043576,0.164233,-0.039633,0.034059,-0.004057,0.000960,0.009517,0.010390,0.982927,-0.010322,-0.018413,-0.182783,0.991405,-0.001933,0.009698,-0.130455,0.121179
